Species,Transmitter,Month,n_COAs,level,method,area_km2
Bass,A69-1601-51639,2017-04-01T00:00:00Z,155,0.5,KDE50,0.02395787571824086
Bass,A69-1601-51639,2017-04-01T00:00:00Z,155,0.95,KDE95,0.1699652011831988
Bass,A69-1601-51639,2017-05-01T00:00:00Z,157,0.5,KDE50,0.03683514272363676
Bass,A69-1601-51639,2017-05-01T00:00:00Z,157,0.95,KDE95,0.1338168058067335
Bass,A69-1601-51639,2017-06-01T00:00:00Z,67,0.5,KDE50,0.019881339311023125
Bass,A69-1601-51639,2017-06-01T00:00:00Z,67,0.95,KDE95,0.11875688263742151
Bass,A69-1601-51639,2017-07-01T00:00:00Z,75,0.5,KDE50,0.025797976530784538
Bass,A69-1601-51639,2017-07-01T00:00:00Z,75,0.95,KDE95,0.08667525209804776
Bass,A69-1601-51639,2017-10-01T00:00:00Z,33,0.5,KDE50,0.028056901559799213
Bass,A69-1601-51639,2017-10-01T00:00:00Z,33,0.95,KDE95,0.10315953313253086
Bass,A69-1601-51639,2017-12-01T00:00:00Z,57,0.5,KDE50,0.03686600917217042
Bass,A69-1601-51639,2017-12-01T00:00:00Z,57,0.95,KDE95,0.15744610724009744
Bass,A69-1601-51639,2018-01-01T00:00:00Z,113,0.5,KDE50,0.022462728251846042
Bass,A69-1601-51639,2018-01-01T00:00:00Z,113,0.95,KDE95,0.15952136094260544
Bass,A69-1601-51639,2018-02-01T00:00:00Z,137,0.5,KDE50,0.015484355122723151
Bass,A69-1601-51639,2018-02-01T00:00:00Z,137,0.95,KDE95,0.06245464073273109
Bass,A69-1601-51639,2018-03-01T00:00:00Z,110,0.5,KDE50,0.014371956480485736
Bass,A69-1601-51639,2018-03-01T00:00:00Z,110,0.95,KDE95,0.04118563535607088
Bass,A69-1601-51639,2018-04-01T00:00:00Z,38,0.5,KDE50,0.017247273646414513
Bass,A69-1601-51639,2018-04-01T00:00:00Z,38,0.95,KDE95,0.07202587472856563
Bass,A69-1601-51639,2018-05-01T00:00:00Z,88,0.5,KDE50,0.016904314396949602
